id,employee_id,department,performance_score,years_with_company,salary
204,204,Sales,54.15,4,2740.39
205,205,Legal,11.92,2,962.85
206,206,Legal,5.39,17,1223.35
207,207,Support,81.99,3,2181.56
208,208,Support,41.75,2,1809.51
209,209,Research and Development,70.8,1,1176.93
210,210,Training,78.87,15,525.27
211,211,Accounting,64.78,8,559.85
212,212,Engineering,29.49,17,918.37
213,213,Support,28.54,14,710.41
214,214,Services,52.27,16,936.39
215,215,Research and Development,92.17,7,2324.39
216,216,Services,59.47,19,1781.23
217,217,Research and Development,67.2,18,727.93
218,218,Business Development,75.04,20,1651.47
219,219,Product Management,43.4,16,2137.13
220,220,Training,43.63,8,1715.84
221,221,Legal,96.98,1,1180.21
222,222,Services,53.8,4,2780.25
223,223,Research and Development,44.35,18,469.23
224,224,Legal,23.98,20,1186.65
225,225,Human Resources,17.99,3,2605.49
226,226,Business Development,93.63,20,1852.45
227,227,Research and Development,87.06,2,1698.78
228,228,Legal,13.97,5,1836.74
229,229,Support,82.35,9,862.93
230,230,Sales,35.26,5,2380.02
231,231,Training,46.7,19,2791.04
232,232,Marketing,34.81,5,2731.87
233,233,Human Resources,78.38,8,1520.65
234,234,Support,90.74,9,2180.42
235,235,Sales,65.68,1,1005.12
236,236,Marketing,32.69,3,2459.13
237,237,Human Resources,83.59,11,2787.46
238,238,Engineering,51.05,5,1345.35
239,239,Training,63.64,2,2342.98
240,240,Sales,58.89,10,902.87
241,241,Sales,56.66,20,1532.27
242,242,Business Development,82.6,7,2673.53
243,243,Human Resources,4.41,15,602.02
244,244,Accounting,6.09,13,913.58
245,245,Business Development,90.51,16,1520.58
246,246,Legal,26.24,14,1038.52
247,247,Legal,34.95,2,846.18
248,248,Legal,42.95,9,496.81
249,249,Services,41.02,19,2118.8
250,250,Research and Development,87.15,15,544.8
251,251,Training,47.22,6,512.82
252,252,Accounting,3.37,4,2133.57
253,253,Business Development,8.44,16,951.51
254,254,Engineering,30.59,17,2376.31
255,255,Support,55.17,11,658.04
256,256,Research and Development,40.02,19,2817.31
257,257,Accounting,68.96,18,1482.41
258,258,Product Management,60.57,18,607.45
259,259,Research and Development,78.77,20,865.83
260,260,Product Management,44.51,4,2114.15
261,261,Business Development,10.72,17,1275.69
262,262,Services,60.29,19,2164.06
263,263,Product Management,87.8,12,1245.4
264,264,Human Resources,83.94,13,2589.07
265,265,Sales,87.15,17,968.79
266,266,Accounting,66.16,9,2896.37
267,267,Legal,41.42,20,2585.35
268,268,Research and Development,21.55,12,641.35
269,269,Engineering,2.25,2,2589.55
270,270,Accounting,57.04,8,803.2
271,271,Training,57.06,20,1455.25
272,272,Sales,51.46,18,1348.18
273,273,Human Resources,8.9,9,1299.94
274,274,Business Development,34.17,14,779.32
275,275,Human Resources,80.15,13,2827.68
276,276,Business Development,36.01,20,2961.71
277,277,Legal,7.05,1,1223.89
278,278,Sales,99.53,17,1574.51
279,279,Engineering,72.95,15,1123.04
280,280,Support,81.6,14,2731.71
281,281,Support,45.43,12,1516.67
282,282,Product Management,90.0,7,1935.11
283,283,Accounting,31.64,19,1856.77
284,284,Accounting,25.89,11,2019.62
285,285,Research and Development,19.46,7,779.13
286,286,Sales,14.3,9,2547.76
287,287,Business Development,51.13,10,557.29
288,288,Product Management,11.13,14,1748.12
289,289,Research and Development,43.22,9,2560.56
290,290,Product Management,57.78,13,921.97
291,291,Services,60.54,16,462.31
292,292,Services,53.2,17,1946.07
293,293,Training,54.78,17,1324.0
294,294,Product Management,16.25,12,1087.89
295,295,Support,54.83,3,1665.61
296,296,Business Development,10.53,11,1427.35
297,297,Accounting,95.25,5,623.74
298,298,Sales,35.76,4,1908.23
299,299,Engineering,22.38,16,2270.11
300,300,Human Resources,91.5,9,1863.2
301,301,Accounting,62.07,6,1836.9
302,302,Sales,27.7,15,1146.54
303,303,Marketing,31.95,15,2986.28
304,304,Services,11.51,13,1832.81
305,305,Marketing,97.68,20,1706.79
306,306,Engineering,53.77,4,1432.26
307,307,Support,97.21,10,2764.99
308,308,Marketing,91.85,6,2876.6
309,309,Research and Development,23.35,19,2126.6
310,310,Accounting,68.85,7,1262.64
311,311,Sales,62.62,12,1235.66
312,312,Support,73.28,4,2648.85
313,313,Business Development,85.13,6,2894.86
314,314,Product Management,87.89,8,2002.08
315,315,Marketing,91.38,8,2670.58
316,316,Business Development,65.08,2,2261.02
317,317,Engineering,1.12,9,1146.8
318,318,Services,47.1,6,2689.58
319,319,Support,24.01,7,2038.52
320,320,Human Resources,96.39,17,1648.3
321,321,Human Resources,90.55,12,2544.25
322,322,Accounting,73.64,18,505.6
323,323,Product Management,13.58,5,1784.46
324,324,Business Development,7.9,17,1437.51
325,325,Engineering,55.29,1,964.68
326,326,Accounting,91.61,14,2330.92
327,327,Accounting,94.04,19,2458.11
328,328,Business Development,6.74,12,2405.38
329,329,Services,59.5,14,928.12
330,330,Training,39.66,14,948.12
331,331,Human Resources,70.02,3,2849.8
332,332,Sales,34.39,19,2081.32
333,333,Product Management,98.09,10,2442.92
334,334,Accounting,92.61,16,2983.04
335,335,Business Development,14.26,20,1873.43
336,336,Services,94.97,14,1515.24
337,337,Sales,44.16,11,2127.38
338,338,Services,91.15,20,1891.47
339,339,Marketing,15.07,17,717.58
340,340,Training,14.32,13,2255.75
341,341,Business Development,38.73,17,1950.84
342,342,Support,97.68,10,2229.95
343,343,Legal,23.36,19,2844.66
344,344,Human Resources,43.68,6,1944.86
345,345,Services,61.99,2,1967.12
346,346,Product Management,92.88,1,1216.49
347,347,Product Management,77.35,15,1724.55
348,348,Support,72.76,9,1364.66
349,349,Legal,60.58,16,1275.06
350,350,Accounting,58.64,19,2642.3
351,351,Human Resources,81.68,1,667.83
352,352,Training,82.06,17,1711.39
353,353,Accounting,71.31,3,2180.75
354,354,Sales,69.39,4,2449.22
355,355,Sales,58.76,15,1962.21
356,356,Engineering,49.95,14,1617.29
357,357,Business Development,50.03,16,1705.61
358,358,Marketing,67.13,16,513.8
359,359,Research and Development,88.83,3,741.19
360,360,Services,84.71,20,2191.99
361,361,Business Development,43.57,5,2715.87
362,362,Accounting,7.12,13,2669.52
363,363,Training,11.56,5,1985.52
364,364,Engineering,78.53,5,2909.36
365,365,Training,99.18,2,1044.81
366,366,Services,23.29,4,1995.56
367,367,Training,44.51,2,590.05
368,368,Services,79.65,19,1839.07
369,369,Services,36.38,17,2058.01
370,370,Human Resources,37.13,20,2759.92
371,371,Support,1.09,17,1885.45
372,372,Accounting,94.78,13,1951.62
373,373,Human Resources,1.37,6,1453.33
374,374,Product Management,15.38,18,940.43
375,375,Training,76.37,1,1502.54
376,376,Research and Development,75.35,12,603.04
377,377,Product Management,18.43,11,1244.86
378,378,Engineering,43.95,12,1649.42
379,379,Engineering,14.83,4,602.66
380,380,Marketing,36.43,19,2586.21
381,381,Accounting,35.93,14,452.83
382,382,Accounting,26.31,15,1407.47
383,383,Business Development,58.22,5,1813.56
384,384,Human Resources,31.0,14,1826.36
385,385,Product Management,31.52,5,1171.73
386,386,Training,70.69,12,2127.99
387,387,Engineering,33.42,14,2846.44
388,388,Sales,47.18,15,2911.1
389,389,Legal,73.33,2,891.76
390,390,Legal,18.07,14,1454.07
391,391,Legal,94.66,14,2024.43
392,392,Accounting,99.29,13,1793.94
393,393,Human Resources,50.05,7,2005.72
394,394,Services,67.85,2,2954.0
395,395,Research and Development,42.69,14,1188.38
396,396,Product Management,99.8,5,1575.35
397,397,Accounting,21.75,7,504.01
398,398,Services,26.39,20,2355.3
399,399,Marketing,46.03,1,2519.6
400,400,Product Management,48.76,9,2965.99
401,401,Marketing,99.93,16,928.55
402,402,Training,70.67,14,1857.98
403,403,Accounting,61.8,12,1376.33
404,404,Services,85.73,12,1990.69
405,405,Training,40.32,14,1665.85
406,406,Sales,78.12,4,618.21
407,407,Training,48.91,16,2003.4
408,408,Services,46.59,11,1592.86
409,409,Engineering,33.33,16,1336.42
410,410,Marketing,62.08,6,2839.15
411,411,Legal,32.91,14,2015.65
412,412,Training,58.25,4,1688.49
413,413,Research and Development,3.83,19,1163.5
414,414,Research and Development,20.51,9,768.47
415,415,Training,38.36,7,1817.83
416,416,Research and Development,26.01,10,521.31
417,417,Support,75.31,10,1722.78
418,418,Product Management,76.99,20,654.85
419,419,Services,37.21,3,2586.74
420,420,Business Development,45.66,1,2399.04
421,421,Legal,51.06,12,2101.88
422,422,Product Management,53.6,15,2880.19
423,423,Marketing,2.57,9,2972.92
424,424,Services,56.88,13,2702.73
425,425,Business Development,83.74,11,1518.52
426,426,Engineering,55.55,10,1148.68
427,427,Accounting,23.68,1,847.27
428,428,Sales,6.74,1,1214.18
429,429,Accounting,89.07,16,487.64
430,430,Marketing,87.62,10,1644.54
431,431,Research and Development,25.92,6,2753.3
432,432,Sales,76.45,7,1724.7
433,433,Marketing,24.05,9,1370.8
434,434,Training,80.71,9,2650.99
435,435,Business Development,48.85,8,1154.48
436,436,Engineering,46.18,19,2555.06
437,437,Human Resources,80.5,9,1266.43
438,438,Business Development,15.67,19,2107.45
439,439,Support,6.77,12,2757.03
440,440,Engineering,10.72,19,2753.13
441,441,Services,17.74,6,2524.76
442,442,Engineering,20.97,6,2499.82
443,443,Business Development,55.69,18,537.06
444,444,Sales,35.26,7,1800.16
445,445,Human Resources,73.38,16,2369.85
446,446,Business Development,74.84,19,2169.38
447,447,Product Management,64.15,20,1817.79
448,448,Legal,86.32,10,2964.86
449,449,Legal,18.67,17,1781.53
450,450,Legal,38.9,11,546.38
451,451,Sales,44.12,3,972.2
452,452,Support,59.7,3,2601.74
453,453,Services,34.24,16,826.08
454,454,Human Resources,43.0,6,993.95
455,455,Product Management,12.51,18,2194.34
456,456,Human Resources,66.23,3,1633.05
457,457,Sales,32.08,16,1560.52
458,458,Human Resources,65.02,10,461.19
459,459,Engineering,87.48,14,1554.74
460,460,Legal,96.95,10,1319.38
461,461,Human Resources,68.84,14,2320.94
462,462,Services,72.51,10,740.68
463,463,Services,96.51,3,1832.09
464,464,Product Management,97.25,14,569.18
465,465,Legal,57.57,12,1794.4
466,466,Training,28.83,8,2396.57
467,467,Support,15.9,10,2415.72
468,468,Training,19.32,2,834.22
469,469,Training,48.38,7,2117.54
470,470,Business Development,98.63,1,1354.44
471,471,Services,8.47,4,1614.87
472,472,Sales,55.23,4,738.15
473,473,Legal,91.38,16,2446.2
474,474,Sales,54.8,3,2716.7
475,475,Engineering,81.69,3,1356.18
476,476,Legal,26.21,9,2193.12
477,477,Services,95.51,14,2184.52
478,478,Support,27.41,8,1584.93
479,479,Human Resources,69.65,20,1694.72
480,480,Business Development,73.43,8,933.6
481,481,Legal,72.74,7,2461.74
482,482,Training,35.71,14,1709.44
483,483,Business Development,20.87,20,2903.78
484,484,Sales,80.25,11,2385.93
485,485,Accounting,65.7,4,2566.28
486,486,Services,8.39,16,2802.85
487,487,Business Development,86.97,8,1782.26
488,488,Services,94.07,8,1885.21
489,489,Research and Development,16.9,5,1537.82
490,490,Product Management,33.25,15,543.92
491,491,Accounting,72.49,10,2155.23
492,492,Engineering,67.3,16,2132.51
493,493,Human Resources,69.17,9,1228.94
494,494,Accounting,96.66,20,2658.86
495,495,Marketing,19.71,2,2922.45
496,496,Legal,27.87,10,1177.88
497,497,Human Resources,17.39,18,813.25
498,498,Engineering,86.09,10,2498.09
499,499,Human Resources,22.24,18,1987.08
500,500,Human Resources,33.36,6,2951.09
501,501,Training,35.81,1,2628.77
502,502,Training,53.03,7,543.22
503,503,Business Development,27.76,6,1810.27
504,504,Legal,32.1,6,1303.86
505,505,Accounting,57.65,4,2676.37
506,506,Sales,65.43,8,1215.69
507,507,Support,75.5,17,2632.67
508,508,Legal,77.65,1,2907.31
509,509,Services,9.08,10,576.4
510,510,Business Development,64.02,2,649.93
511,511,Legal,80.9,2,1294.77
512,512,Product Management,19.94,2,1685.14
513,513,Accounting,60.3,3,2359.94
514,514,Accounting,8.9,8,2773.08
515,515,Training,68.01,2,1646.08
516,516,Marketing,45.28,18,647.88
517,517,Training,28.23,5,2974.22
518,518,Training,87.96,3,945.89
519,519,Accounting,45.96,2,2131.9
520,520,Business Development,69.6,4,2535.34
521,521,Accounting,84.67,20,2167.75
522,522,Legal,15.48,2,2344.36
523,523,Marketing,1.72,16,1501.58
524,524,Legal,16.42,3,1967.3
525,525,Accounting,22.73,19,1813.82
526,526,Research and Development,49.45,2,627.15
527,527,Support,81.14,11,2576.02
528,528,Business Development,47.5,20,1825.54
529,529,Human Resources,43.8,13,1648.22
530,530,Services,20.58,20,2342.3
531,531,Support,17.01,10,1524.17
532,532,Research and Development,75.15,1,1873.68
533,533,Accounting,21.79,11,2683.3
534,534,Legal,97.85,1,2906.05
535,535,Marketing,37.19,15,1825.64
536,536,Accounting,53.42,11,2957.82
537,537,Legal,54.91,19,1770.09
538,538,Human Resources,84.87,7,1345.53
539,539,Engineering,55.25,16,525.56
540,540,Human Resources,19.94,2,1742.87
541,541,Accounting,32.68,18,1228.61
542,542,Marketing,93.45,17,992.21
543,543,Services,44.37,4,1370.26
544,544,Human Resources,15.28,13,2412.47
545,545,Engineering,61.82,9,1323.65
546,546,Support,23.85,4,2696.07
547,547,Human Resources,6.22,8,1120.78
548,548,Accounting,96.68,20,1663.08
549,549,Sales,97.13,11,1303.54
550,550,Sales,6.9,7,2345.43
551,551,Sales,15.17,7,1937.0
552,552,Services,57.62,7,912.77
553,553,Legal,18.62,15,2308.29
554,554,Engineering,8.38,14,1886.02
555,555,Marketing,95.31,9,2146.31
556,556,Sales,28.23,19,2565.31
557,557,Support,74.18,13,2110.29
558,558,Training,86.24,12,1793.89
559,559,Business Development,36.25,1,1371.63
560,560,Training,82.93,20,2445.3
561,561,Human Resources,85.44,17,1643.53
562,562,Business Development,6.64,18,919.84
563,563,Engineering,50.25,2,693.73
564,564,Research and Development,19.77,11,2319.45
565,565,Sales,64.13,11,1132.44
566,566,Marketing,34.54,14,2055.8
567,567,Legal,92.91,11,1833.42
568,568,Product Management,72.53,12,2930.42
569,569,Sales,4.81,19,2575.98
570,570,Research and Development,99.6,19,771.94
571,571,Product Management,58.58,17,1326.82
572,572,Legal,50.04,2,1035.2
573,573,Human Resources,80.07,14,881.64
574,574,Human Resources,51.37,7,2249.27
575,575,Support,67.61,8,2667.57
576,576,Support,56.06,10,1575.53
577,577,Marketing,70.48,20,2823.53
578,578,Services,8.75,18,2657.27
579,579,Support,61.02,4,1689.03
580,580,Legal,20.96,18,1297.57
581,581,Human Resources,86.8,8,1825.73
582,582,Business Development,74.73,18,989.68
583,583,Services,3.53,6,2650.75
584,584,Training,22.38,9,991.51
585,585,Engineering,10.5,14,2844.78
586,586,Support,89.39,7,1655.77
587,587,Product Management,60.41,18,1832.6
588,588,Human Resources,70.37,8,1960.24
589,589,Research and Development,87.64,5,912.7
590,590,Training,12.96,18,466.42
591,591,Training,50.36,1,519.86
592,592,Accounting,47.9,16,1046.89
593,593,Legal,72.79,16,1664.33
594,594,Human Resources,50.08,16,1691.38
595,595,Legal,92.56,2,1985.51
596,596,Engineering,19.45,11,657.48
597,597,Accounting,60.45,17,825.15
598,598,Services,51.64,15,946.78
599,599,Sales,99.48,3,1970.98
600,600,Legal,12.21,6,1901.83
601,601,Engineering,84.79,8,1692.24
602,602,Marketing,87.98,10,2084.17
603,603,Legal,10.43,12,1299.9
604,604,Services,41.78,3,736.28
605,605,Training,87.62,8,897.44
606,606,Support,52.8,17,522.32
607,607,Services,79.61,5,2334.2
608,608,Engineering,36.01,17,2329.13
609,609,Training,73.54,1,2290.56
610,610,Research and Development,43.36,8,2199.49
611,611,Sales,43.28,20,2621.57
612,612,Accounting,61.21,18,1299.98
613,613,Research and Development,27.61,9,1376.7
614,614,Marketing,19.03,17,2505.0
615,615,Accounting,68.89,18,1745.83
616,616,Human Resources,82.01,11,2889.18
617,617,Support,27.91,4,747.76
618,618,Training,14.06,11,924.87
619,619,Sales,52.58,8,1730.77
620,620,Support,49.24,9,2114.16
621,621,Business Development,62.26,3,1302.67
622,622,Product Management,28.74,7,1621.71
623,623,Training,56.19,9,932.34
624,624,Product Management,40.99,16,1717.56
625,625,Product Management,11.99,18,975.88
626,626,Product Management,9.43,19,565.8
627,627,Training,26.54,7,1521.21
628,628,Human Resources,57.35,8,2837.58
629,629,Accounting,81.5,13,2349.55
630,630,Human Resources,87.2,15,2000.88
631,631,Marketing,40.58,6,2685.16
632,632,Research and Development,20.16,3,2037.79
633,633,Sales,38.88,5,2262.84
634,634,Services,6.79,19,606.69
635,635,Accounting,24.51,1,1777.44
636,636,Legal,28.86,2,1112.93
637,637,Sales,61.78,16,1101.51
638,638,Human Resources,70.33,1,1794.07
639,639,Support,85.12,3,2240.97
640,640,Legal,65.55,3,949.44
641,641,Human Resources,9.14,18,1763.12
642,642,Accounting,37.26,17,2355.04
643,643,Human Resources,4.74,5,957.39
644,644,Services,91.05,4,2569.19
645,645,Product Management,72.95,6,2391.39
646,646,Marketing,39.55,1,2351.54
647,647,Legal,61.7,12,567.74
648,648,Marketing,38.78,7,710.06
649,649,Human Resources,35.5,3,2467.24
650,650,Sales,64.0,6,2117.27
651,651,Business Development,72.77,12,1191.04
652,652,Training,9.3,11,970.03
653,653,Research and Development,38.59,20,1899.07
654,654,Support,59.62,3,884.83
655,655,Marketing,93.61,4,711.34
656,656,Human Resources,60.18,20,669.84
657,657,Support,26.82,14,866.85
658,658,Product Management,42.22,4,2145.93
659,659,Legal,82.16,20,742.84
660,660,Research and Development,31.71,13,2535.45
661,661,Marketing,49.74,8,1775.7
662,662,Engineering,71.46,9,2681.29
663,663,Sales,87.48,9,2259.3
664,664,Legal,49.03,1,1890.46
665,665,Engineering,23.25,4,1594.12
666,666,Engineering,30.13,18,2122.72
667,667,Training,82.9,10,1443.52
668,668,Engineering,49.17,3,1619.76
669,669,Support,3.87,18,1764.76
670,670,Human Resources,19.63,3,1981.37
671,671,Accounting,18.35,15,2717.59
672,672,Business Development,29.55,2,1209.84
673,673,Business Development,9.85,14,2592.24
674,674,Support,82.36,3,2515.0
675,675,Support,49.36,14,1464.73
676,676,Training,85.81,18,1891.2
677,677,Accounting,99.96,20,1035.49
678,678,Legal,7.75,16,2725.17
679,679,Human Resources,43.42,7,2758.59
680,680,Support,96.99,20,791.36
681,681,Support,81.12,18,1128.35
682,682,Research and Development,59.0,19,1800.72
683,683,Sales,91.06,4,1538.53
684,684,Legal,66.79,20,1927.33
685,685,Research and Development,99.58,9,2075.45
686,686,Marketing,24.98,5,1252.86
687,687,Human Resources,88.46,2,1727.9
688,688,Human Resources,71.83,2,1133.39
689,689,Human Resources,36.5,4,2574.31
690,690,Research and Development,33.09,12,1611.1
691,691,Legal,99.2,4,722.46
692,692,Business Development,64.08,18,699.14
693,693,Marketing,7.81,2,1317.51
694,694,Support,69.16,14,1822.22
695,695,Legal,60.13,2,2132.59
696,696,Services,13.54,14,749.72
697,697,Services,21.47,14,1933.21
698,698,Support,53.74,4,1845.52
699,699,Human Resources,50.91,3,913.73
700,700,Training,67.31,7,703.95
701,701,Sales,4.01,9,684.71
702,702,Sales,77.95,2,2263.07
703,703,Sales,85.21,4,2639.64
704,704,Accounting,76.28,10,1138.33
705,705,Product Management,64.94,18,2314.06
706,706,Legal,44.29,19,1129.26
707,707,Engineering,80.28,17,2912.89
708,708,Training,23.54,18,2946.59
709,709,Human Resources,70.27,8,1104.31
710,710,Accounting,14.4,9,1092.99
711,711,Accounting,20.05,9,1926.61
712,712,Marketing,70.96,18,1952.39
713,713,Legal,52.38,10,778.01
714,714,Human Resources,58.66,2,2432.0
715,715,Engineering,9.4,1,799.51
716,716,Research and Development,27.16,17,2341.71
717,717,Services,82.47,14,877.37
718,718,Legal,17.6,4,1765.29
719,719,Services,10.32,19,2277.41
720,720,Marketing,4.25,8,1711.14
721,721,Research and Development,60.67,17,2729.85
722,722,Business Development,45.29,1,1468.89
723,723,Human Resources,90.76,12,1072.85
724,724,Services,27.45,8,2204.03
